Territorial Authority,Topic,Measure,Category,Value,ValueUnit,ValueLabel,NullReason,Date,DateLabel,Source
Queenstown-Lakes,Demographics,Legally registered relationship status (Age 15+),Not elsewhere included,2301,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Current relationship partner status (Age 15+),Partnered,14595,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Current relationship partner status (Age 15+),Non-Partnered,6681,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Cigarette smoking behaviour (Age 15+),Regular Smoker,2475,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Cigarette smoking behaviour (Age 15+),Ex-Smoker,5424,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Cigarette smoking behaviour (Age 15+),Never smoked regularly,12813,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Cigarette smoking behaviour (Age 15+),Not elsewhere included,2319,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),No Qualification,2208,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Level 1 Certificate,2256,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Level 2 Certificate,2109,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Level 3 Certificate,1668,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Level 4 Certificate,2544,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Level 5 or Level 6 Diploma,2433,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Bachelor Degree and Level 7 Qualifications,3522,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Postgraduate and Honours Degrees,894,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Masters Degree,555,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Doctorate Degree,108,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Overseas Secondary School Qualification,2376,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Highest qualification (Age 15+),Not elsewhere included,2367,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",No children,4170,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",One child,1251,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",Two children,2817,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",Three children,1533,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",Four children,468,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",Five children,120,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",Six or more children,51,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",Object to answering,183,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,"Number of children given birth to (Age 15+, Live births only)",Not elsewhere included,933,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,No religion,13431,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Buddhist,363,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Christian,10869,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Hindu,273,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Islam/Muslim,84,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Judaism,87,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Māori Christian,27,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Spiritualism and new-age religions,105,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Other religions,108,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Object to answering,825,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Religious affiliation,Not elsewhere included,2514,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Participating in study (Age 15+),Full-time study,1140,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Participating in study (Age 15+),Part-time study,762,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Participating in study (Age 15+),Full-time and part-time study,3,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Participating in study (Age 15+),Not studying,18639,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Home ownership,Own or partly-own home they usually live in,10398,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Home ownership,Does not own home they usually live in,11199,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Demographics,Home ownership,Not elsewhere included,1437,number,Number of people,,2013,Census Year,https://figure.nz/table/Tnc6EcmqhcZTLJvv
Queenstown-Lakes,Income,Median family income ($),,79300,nzd,NZD,,2013,Census Year,https://figure.nz/table/Ki6RAC7VIPBooFv2
Queenstown-Lakes,Income,Median household income ($),,73300,nzd,NZD,,2013,Census Year,https://figure.nz/table/Dv7YCDz4Pa4BEJde
Queenstown-Lakes,Income,Median personal income ($),,35200,nzd,NZD,,2013,Census Year,https://figure.nz/table/niv4WkpUOwhJKrhZ
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$5,000 and under",1902,number,Number of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$5,001-$10,000",828,number,Number of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$10,001-$20,000",2673,number,Number of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$20,001-$30,000",3336,number,Number of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$30,001-$50,000",6033,number,Number of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$50,001 and over",6114,number,Number of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),Not stated,2148,number,Number of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$5,000 and under",8.257358687158114092211513410,percentage,% of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$5,001-$10,000",3.5946861161760875227923938500,percentage,% of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$10,001-$20,000",11.604584527220630372492836680,percentage,% of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$20,001-$30,000",14.482938265173222193279499870,percentage,% of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$30,001-$50,000",26.191716592862724667882261010,percentage,% of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),"$50,001 and over",26.543370669445168012503256060,percentage,% of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Total personal income for people who live in this area (Age 15+),Not stated,9.325345141964053138838239120,percentage,% of people,,2013,Census Year,https://figure.nz/table/NyZriQwsM72swSq0
Queenstown-Lakes,Income,Sources of personal income for people who live in area (Age 15+),Wages Salary Commissions Bonuses etc,41.744070700694381819821444670,percentage,% of people,,2013,Census Year,https://figure.nz/table/Pzttxl8rdrsraqxi
Queenstown-Lakes,Income,Sources of personal income for people who live in area (Age 15+),Self-employment or Business,17.648119758319054919289385880,percentage,% of people,,2013,Census Year,https://figure.nz/table/Pzttxl8rdrsraqxi
Queenstown-Lakes,Income,Sources of personal income for people who live in area (Age 15+),Interest Dividends Rent Other Invest.,16.980791775633510686265668680,percentage,% of people,,2013,Census Year,https://figure.nz/table/Pzttxl8rdrsraqxi
Queenstown-Lakes,Income,Sources of personal income for people who live in area (Age 15+),Payments from a Work Accident Insurer,1.0280458111642167914149156800,percentage,% of people,,2013,Census Year,https://figure.nz/table/Pzttxl8rdrsraqxi
Queenstown-Lakes,Income,Sources of personal income for people who live in area (Age 15+),NZ Superannuation or Veterans Pension,7.5750743980521237262151681800,percentage,% of people,,2013,Census Year,https://figure.nz/table/Pzttxl8rdrsraqxi
